Source;Target;Weight
netherbrick;r_0;-4
r_0;nether_bricks;1
nether_wart;r_1;-2
netherbrick;r_1;-2
r_1;red_nether_brick_wall;1
nether_brick_slab;r_2;-2
r_2;chiseled_nether_bricks;1
quartz;r_3;-4
r_3;quartz_block;1
quartz_slab;r_4;-2
r_4;chiseled_quartz_block;1
quartz_block;r_5;-2
r_5;quartz_pillar;2
quartz_block;r_6;-4
r_6;quartz_bricks;4
wheat;r_7;-9
r_7;hay_block;1
white_carpet;r_8;-8
pink_dye;r_8;-1
r_8;pink_carpet;8
white_carpet;r_9;-8
magenta_dye;r_9;-1
r_9;magenta_carpet;8
white_carpet;r_10;-8
light_blue_dye;r_10;-1
r_10;light_blue_carpet;8
white_carpet;r_11;-8
yellow_dye;r_11;-1
r_11;yellow_carpet;8
white_carpet;r_12;-8
lime_dye;r_12;-1
r_12;lime_carpet;8
white_carpet;r_13;-8
gray_dye;r_13;-1
r_13;gray_carpet;8
white_carpet;r_14;-8
light_gray_dye;r_14;-1
r_14;light_gray_carpet;8
white_carpet;r_15;-8
cyan_dye;r_15;-1
r_15;cyan_carpet;8
white_carpet;r_16;-8
purple_dye;r_16;-1
r_16;purple_carpet;8
white_carpet;r_17;-8
blue_dye;r_17;-1
r_17;blue_carpet;8
white_carpet;r_18;-8
brown_dye;r_18;-1
r_18;brown_carpet;8
white_carpet;r_19;-8
green_dye;r_19;-1
r_19;green_carpet;8
white_carpet;r_20;-8
red_dye;r_20;-1
r_20;red_carpet;8
white_carpet;r_21;-8
black_dye;r_21;-1
r_21;black_carpet;8
white_carpet;r_22;-8
orange_dye;r_22;-1
r_22;orange_carpet;8
terracotta;r_23;-8
white_dye;r_23;-1
r_23;white_terracotta;8
terracotta;r_24;-8
magenta_dye;r_24;-1
r_24;magenta_terracotta;8
terracotta;r_25;-8
light_blue_dye;r_25;-1
r_25;light_blue_terracotta;8
terracotta;r_26;-8
yellow_dye;r_26;-1
r_26;yellow_terracotta;8
terracotta;r_27;-8
lime_dye;r_27;-1
r_27;lime_terracotta;8
terracotta;r_28;-8
pink_dye;r_28;-1
r_28;pink_terracotta;8
terracotta;r_29;-8
gray_dye;r_29;-1
r_29;gray_terracotta;8
terracotta;r_30;-8
light_gray_dye;r_30;-1
r_30;light_gray_terracotta;8
terracotta;r_31;-8
cyan_dye;r_31;-1
r_31;cyan_terracotta;8
terracotta;r_32;-8
purple_dye;r_32;-1
r_32;purple_terracotta;8
terracotta;r_33;-8
blue_dye;r_33;-1
r_33;blue_terracotta;8
terracotta;r_34;-8
brown_dye;r_34;-1
r_34;brown_terracotta;8
terracotta;r_35;-8
green_dye;r_35;-1
r_35;green_terracotta;8
terracotta;r_36;-8
red_dye;r_36;-1
r_36;red_terracotta;8
terracotta;r_37;-8
black_dye;r_37;-1
r_37;black_terracotta;8
terracotta;r_38;-8
orange_dye;r_38;-1
r_38;orange_terracotta;8
ice;r_39;-9
r_39;packed_ice;1
diorite;r_40;-1
quartz;r_40;-1
r_40;granite;1
granite;r_41;-4
r_41;polished_granite;4
prismarine_crystals;r_42;-5
prismarine_shard;r_42;-4
r_42;sea_lantern;1
dirt;r_43;-2
gravel;r_43;-2
r_43;coarse_dirt;4
diorite;r_44;-1
cobblestone;r_44;-1
r_44;andesite;2
andesite;r_45;-4
r_45;polished_andesite;4
prismarine_shard;r_46;-4
r_46;prismarine;1
prismarine_shard;r_47;-9
r_47;prismarine_bricks;1
prismarine_shard;r_48;-8
r_48;dark_prismarine;1
prismarine_shard;r_49;-8
r_49;dark_prismarine;1
magma_cream;r_50;-4
r_50;magma_block;1
end_stone;r_51;-4
r_51;end_stone_bricks;4
bone_meal;r_52;-9
r_52;bone_block;1
nether_wart;r_53;-9
r_53;nether_wart_block;1
popped_chorus_fruit;r_54;-4
r_54;purpur_block;4
purpur_slab;r_55;-2
r_55;purpur_pillar;1
sand;r_56;-4
gravel;r_56;-4
orange_dye;r_56;-1
r_56;orange_concrete_powder;8
sand;r_57;-4
gravel;r_57;-4
white_dye;r_57;-1
r_57;white_concrete_powder;8
sand;r_58;-4
gravel;r_58;-4
magenta_dye;r_58;-1
r_58;magenta_concrete_powder;8
sand;r_59;-4
gravel;r_59;-4
light_blue_dye;r_59;-1
r_59;light_blue_concrete_powder;8
sand;r_60;-4
gravel;r_60;-4
yellow_dye;r_60;-1
r_60;yellow_concrete_powder;8
sand;r_61;-4
gravel;r_61;-4
lime_dye;r_61;-1
r_61;lime_concrete_powder;8
sand;r_62;-4
gravel;r_62;-4
pink_dye;r_62;-1
r_62;pink_concrete_powder;8
sand;r_63;-4
gravel;r_63;-4
gray_dye;r_63;-1
r_63;gray_concrete_powder;8
sand;r_64;-4
gravel;r_64;-4
light_gray_dye;r_64;-1
r_64;light_gray_concrete_powder;8
sand;r_65;-4
gravel;r_65;-4
cyan_dye;r_65;-1
r_65;cyan_concrete_powder;8
sand;r_66;-4
gravel;r_66;-4
purple_dye;r_66;-1
r_66;purple_concrete_powder;8
sand;r_67;-4
gravel;r_67;-4
blue_dye;r_67;-1
r_67;blue_concrete_powder;8
sand;r_68;-4
gravel;r_68;-4
brown_dye;r_68;-1
r_68;brown_concrete_powder;8
sand;r_69;-4
gravel;r_69;-4
green_dye;r_69;-1
r_69;green_concrete_powder;8
sand;r_70;-4
gravel;r_70;-4
red_dye;r_70;-1
r_70;red_concrete_powder;8
sand;r_71;-4
gravel;r_71;-4
black_dye;r_71;-1
r_71;black_concrete_powder;8
sand;r_72;-4
gravel;r_72;-4
bone_meal;r_72;-1
r_72;white_concrete_powder;8
sand;r_73;-4
gravel;r_73;-4
lapis_lazuli;r_73;-1
r_73;blue_concrete_powder;8
sand;r_74;-4
gravel;r_74;-4
cocoa_beans;r_74;-1
r_74;brown_concrete_powder;8
sand;r_75;-4
gravel;r_75;-4
ink_sac;r_75;-1
r_75;black_concrete_powder;8
nautilus_shell;r_76;-8
heart_of_the_sea;r_76;-1
r_76;conduit;1
dried_kelp;r_77;-9
r_77;dried_kelp_block;1
oak_log;r_78;-4
r_78;oak_wood;3
acacia_log;r_79;-4
r_79;acacia_wood;3
birch_log;r_80;-4
r_80;birch_wood;3
dark_oak_log;r_81;-4
r_81;dark_oak_wood;3
jungle_log;r_82;-4
r_82;jungle_wood;3
spruce_log;r_83;-4
r_83;spruce_wood;3
crimson_stem;r_84;-4
r_84;crimson_hyphae;3
warped_stem;r_85;-4
r_85;warped_hyphae;3
emerald;r_94;-9
r_94;emerald_block;1
coal;r_95;-9
r_95;coal_block;1
polished_blackstone;r_96;-4
r_96;polished_blackstone_bricks;4
iron_ingot;r_97;-1
iron_nugget;r_97;-2
r_97;chain;1
netherite_ingot;r_98;-9
r_98;netherite_block;1
blackstone;r_99;-4
r_99;polished_blackstone;4
polished_blackstone_slab;r_100;-2
r_100;chiseled_polished_blackstone;1
gold_ingot;r_101;-9
r_101;gold_block;1
glass;r_102;-8
white_dye;r_102;-1
r_102;white_stained_glass;8
glass;r_103;-8
magenta_dye;r_103;-1
r_103;magenta_stained_glass;8
glass;r_104;-8
light_blue_dye;r_104;-1
r_104;light_blue_stained_glass;8
glass;r_105;-8
yellow_dye;r_105;-1
r_105;yellow_stained_glass;8
glass;r_106;-8
lime_dye;r_106;-1
r_106;lime_stained_glass;8
glass;r_107;-8
pink_dye;r_107;-1
r_107;pink_stained_glass;8
glass;r_108;-8
gray_dye;r_108;-1
r_108;gray_stained_glass;8
glass;r_109;-8
light_gray_dye;r_109;-1
r_109;silver_stained_glass;8
glass;r_110;-8
cyan_dye;r_110;-1
r_110;cyan_stained_glass;8
glass;r_111;-8
purple_dye;r_111;-1
r_111;purple_stained_glass;8
glass;r_112;-8
blue_dye;r_112;-1
r_112;blue_stained_glass;8
glass;r_113;-8
brown_dye;r_113;-1
r_113;brown_stained_glass;8
glass;r_114;-8
green_dye;r_114;-1
r_114;green_stained_glass;8
glass;r_115;-8
red_dye;r_115;-1
r_115;red_stained_glass;8
glass;r_116;-8
black_dye;r_116;-1
r_116;black_stained_glass;8
glass;r_117;-8
orange_dye;r_117;-1
r_117;orange_stained_glass;8
r_118;jungle_stairs;4
r_119;acacia_stairs;4
r_120;birch_stairs;4
r_121;dark_oak_stairs;4
r_122;oak_stairs;4
r_123;spruce_stairs;4
r_124;crimson_stairs;4
r_125;warped_stairs;4
stone;r_126;-6
r_126;normal_stone_stairs;4
cobblestone;r_127;-6
r_127;stone_stairs;4
mossy_cobblestone;r_128;-6
r_128;mossy_cobblestone_stairs;4
stonebrick;r_129;-6
r_129;stone_brick_stairs;4
mossy_stone_bricks;r_130;-6
r_130;mossy_stone_brick_stairs;4
andesite;r_131;-6
r_131;andesite_stairs;4
polished_andesite;r_132;-6
r_132;polished_andesite_stairs;4
diorite;r_133;-6
r_133;diorite_stairs;4
polished_diorite;r_134;-6
r_134;polished_diorite_stairs;4
granite;r_135;-6
r_135;granite_stairs;4
polished_granite;r_136;-6
r_136;polished_granite_stairs;4
sandstone;r_137;-6
r_137;sandstone_stairs;4
red_sandstone;r_138;-6
r_138;red_sandstone_stairs;4
smooth_sandstone;r_139;-6
r_139;smooth_sandstone_stairs;4
smooth_red_sandstone;r_140;-6
r_140;smooth_red_sandstone_stairs;4
brick_block;r_141;-6
r_141;brick_stairs;4
prismarine;r_142;-6
r_142;prismarine_stairs;4
prismarine_bricks;r_143;-6
r_143;prismarine_bricks_stairs;4
dark_prismarine;r_144;-6
r_144;dark_prismarine_stairs;4
